3 stats are checked when determining when an offer is proposed: the Casus Belli, relations, and BaseCore reaction of the involved empire. 																		
BaseCore is effected by the modifiers CRTreaty,CRPeaceT,CRTradeM,CRExchng,CRDipGon,CRLarges and BaseCore as well as emphasis																		
CRDipGon effects the AskingCheck of empires dealing with you.																		
CRLarges seems to effect the AIs trade logic (ie the chances of a trade being beneficial to you).																		
																		
																		
																		
				Amount of lottery balls given to proposal	Current Ralations have to fall between these values for a successful proposal		Casus Belli has to fall between these values for a successful proposal		The amount of BaseCore Needed for proposal. For pronouns, BaseCore must be less than the number shown here	The amount of BaseCore Needed for acceptance				These modifiers effect the recipient of the offer when it is proposed	These modifiers effect the sender of the offer when the offer is received	These modifiers effect the sender of the offer when it is accepted	These modifiers effect both sender and recipient continually	
Improve TA: Research	DPImpRes	Temp	Trade	45	-47	200	-200	200	-5	-10	-30	-40	-20		DiploPts+=(-8:0)	DiploPts+=(0:16), CRTreaty+=10, CRExchng += 10		
Gift	DP__Gift	Temp	Exchange	1000	100	200	100	200	35	-180	-170	-160	-150	CasusBel+=(2:10), MeansWar+=-1	CRExchng += 10, DiploPts+=(-2:35),CasusBel+=(-2:30), MeansWar+=-1	DiploPts+=(-2:10), CasusBel+=(-2:10), CRTreaty+=20, CRTradeM+=20, CRPeaceT+=20		
Demand	DPDemand	Temp	Exchange	1000	-200	-50	-200	-50	0	80	70	80	90	CasusBel+=(-10:2), MeansWar+=1	CRDipGone+=-20, CasusBel+=(-10:2)	CRExchng += 15, DiploPts+=(-10:10), CRTreaty+=-10, CRTradeM+=-10, CRPeaceT+=-10		
Exhange Items	DPExchng	Temp	Exchange	500	-50	100	-50	100	20	20	0	10	30		CRExchng += -5,  CRDipGone+=5, DiploPts+=(-10:0)	DiploPts+=(6:24), CasusBel+=(6:24), CRTreaty+=10, CRTradeM+=10, CRPeaceT+=10		
TableEnd																		
																		
																		
Amount of BaseCore that is added to the current proposal for each emphasis type																		
TableStart	EmphasisModifiers																	
ColumnHeadingsStart																		
RowHeadingsStart	BaseValue																	
Beg	80																	
Plead	40																	
Reason	20																	
State	5																	
Argue	20																	
Declare	40																	
Demand	80																	
TableEnd																		
																		
When proposal is concluded the emphasis BaseValue is multiplied by these modifiers based on how far is was from the optimal emphasis for the recipients race.																		
It is then either added or subtracted from the current BaseCore total.																		
TableStart	MissedByModifier																	
ColumnHeadingsStart																		
RowHeadingsStart	CRmult																	
0	0.5																	
1	0.25																	
2	0																	
3	-0.1																	
4	-0.2																	
5	-0.3																	
6	-0.4																	
TableEnd																		
																		
TableStart	SenateSanctions																	
ColumnHeadingsStart	Voting	Lottery	Non-Voting	NVLottery														
RowHeadingsStart																		
Sanctions	67	15	33	10														
IncreaseSanctions	50	24	25	16														
Embargo	33	35	12	20														
EndTradeAgreements	60	15	35	10														
DissolveTreaties	50	15	25	10														
TableEnd																		
																		
Modifiers that are used based on the emphasis used to reply to proposals																		
TableStart	ReplyEmphasis																	
ColumnHeadingsStart	Effects																	
RowHeadingsStart																		
Humble	DiploPts+=(1:9),CRTreaty+=-30,CRPeaceT+=-30,CRTradeM+=-30,CRExchng+=-30,CRDipGon+=40,CRLarges+=40																	
Appreciative	DiploPts+=(1:7),CRTreaty+=-20,CRPeaceT+=-20,CRTradeM+=-20,CRExchng+=-20,CRDipGon+=30,CRLarges+=30																	
Polite	DiploPts+=(-1:5),CRTreaty+=-10,CRPeaceT+=-10,CRTradeM+=-10,CRExchng+=-10,CRDipGon+=20,CRLarges+=20																	
Formal	DiploPts+=(-3:3)																	
Cool	DiploPts+=(-5:1),CRTreaty+=10,CRPeaceT+=10,CRTradeM+=10,CRExchng+=10,CRDipGon+=-20, CRLarges+=-20																	
Cold	DiploPts+=(-7:-1),CRTreaty+=20,CRPeaceT+=20,CRTradeM+=20,CRExchng+=20,CRDipGon+=-30,CRLarges+=-30																	
Insulting	DiploPts+=(-9:-1),CRTreaty+=30,CRPeaceT+=30,CRTradeM+=30,CRExchng+=30,CRDipGon+=-40,CRLarges+=-40																	
TableEnd																		
																		
	Casus Belli must fall within these limits for the check to be valid		If the asking check is exceeded war will be declared, otherwise the FailMod will be applied.															
TableStart	DeclareWarChecks																	
ColumnHeadingsStart	CBMin	CBMax	AskingCheck	FailMods														
RowHeadingsStart																		
Goaded	-200	200	-300	CRPeaceT+=-80, DiploPts+=(-50:-17)														
Fair Reaction	-200	200	50	DiploPts+=(-24:-12), CRTreaty+=-20,CRPeaceT+=-20,CRTradeM+=-20,CRExchng+=-20,CRDipGon+=-20,CRLarges+=-20														
NoWarHateGuts	-200	-136	-300															
TreatiedHate	-200	-170	40	DiploPts+=(-3:0), CRTreaty+=-20,CRPeaceT+=-20,CRTradeM+=-20,CRExchng+=-20,CRDipGon+=-20,CRLarges+=-20														
MilitaryOp	-200	200	30	DiploPts+=(-24:-6), CRTreaty+=-20,CRPeaceT+=-20,CRTradeM+=-20,CRExchng+=-20,CRDipGon+=-20,CRLarges+=-20														
MeansWarCount	-200	200	20	DiploPts+=(-36:-12), CRTreaty+=-30,CRPeaceT+=-30,CRTradeM+=-30,CRExchng+=-30,CRDipGon+=-30,CRLarges+=-30														
TableEnd																		
																		
																		
																		
TableStart	TradeAgreementValues																	
ColumnHeadingsStart	Economic	Research																
RowHeadingsStart																		
MinimumMaxValue	20	20																
BaseValue	0.01	0.1		When an Trade Agreement is improved it is increased by TradeValue*(BaseValue+SameSpecies+SameGovSeries+ShareSystem+OneJumpAway)														
SameSpecies	0	0.02																
SameGovSeries	0	0.02																
ShareSystem	0.02	0																
OneJumpAway	0.02	0																
StartingValue	-0.15	-0.15		Average GDP is multiplied by this value to find the starting trade value.														
ImprovementReq	1.3	1.3		Average GDP of both empires must increase by this amount to improve a trade agreement.														
TableEnd																		
																		
TableStart	TradePronounce																	
ColumnHeadingsStart	CRmin	Crmax																
RowHeadingsStart																		
Ease Your Embargo	14	200																
Ending Your Embargo	38	200																
Ending Your Sanctions	-13	200																
CeaseTribute	38	200																
TableEnd																		
																		
TableStart	Trade3rdPartyPronounce																	
ColumnHeadingsStart	CRminCiv1Civ3	CRmaxCiv1Civ3	CRminCiv2Civ3	CRmaxCiv2Civ3	CRminCiv1Civ2	CRmaxCiv1Civ2	ModsCiv1Civ2	ModsCiv3Civ1										
RowHeadingsStart																		
Impose Sanctions	-200	-14	-200	13	14	200		DiploPts+=(-15:-1),CasusBel+=(-15:-1)										
Increase Sanctions to Embargo	-200	-62	-200	-14	62	200		DiploPts+=(-25:-1),CasusBel+=(-25:-1)										
Impose Embargo 	-200	-110	-200	-38	110	200		DiploPts+=(-35:-1),CasusBel+=(-35:-1)										
End All Trade Agreements	-200	-62	-200	-38	86	200		DiploPts+=(-50:-1),CasusBel+=(-50:-1)										
End All Treaties	-200	200	-200	200	-200	200												
Ending Your Embargo	110	200	38	200	62	200		DiploPts+=(1:15),CasusBel+=(1:15),CRLarges+=(-20:-1)										
Ease Your Embargo	62	200	14	200	38	200		DiploPts+=(1:10),CasusBel+=(1:10),CRLarges+=(-15:-1)										
Ending Your Sanctions	14	200	-13	200	14	200		DiploPts+=(1:8),CasusBel+=(1:8),CRLarges+=(-12:-1)										
Declare War	-200	-60	-200	61	110	200	DiploPts+=(-35:-1),CasusBel+=(-35:-1),CasusBel+=(-35:-1)	DiploPts+=(-35:-1),CasusBel+=(-35:-1),CasusBel+=(-35:-1)										
Conditional Surrender	-200	200	-200	200	-200	200		DiploPts+=(-35:-1),CasusBel+=(-35:-1),CasusBel+=(-35:-1)										
Unconditional Surrender	-200	200	-200	200	-200	200		DiploPts+=(-35:-1),CasusBel+=(-35:-1),CasusBel+=(-35:-1)										
TableEnd																		
																		
TableStart	OathBreaker																	
ColumnHeadingsStart	Standard	Justified																
RowHeadingsStart																		
Penalty	DiploPts+=(-75:-20),CasusBel+=(-150:-75),BaseCore+=-5, CRDipGon+=-66	DiploPts+=(-38:-10),CasusBel+=(-75:-38),BaseCore+=-3, CRDipGon+=-33																
TableEnd																		
																		
Note: EndEnforcedPeace and CulturalGenocide are nonfunctional																		
TableStart	MoralOutrage																	
ColumnHeadingsStart	NonSenate	Senate	SenateBanned															
RowHeadingsStart																		
EndEnforcedPeace	CRTreaty+=-20,CRPeaceT+=-20,CRTradeM+=-40,CRExchng+=-40,CRDipGon+=-40,CRLarges+=-40	CRTreaty+=-60,CRPeaceT+=-60,CRTradeM+=-60,CRExchng+=-60,CRDipGon+=-60,CRLarges+=-60	CRTreaty+=-60,CRPeaceT+=-60,CRTradeM+=-60,CRExchng+=-60,CRDipGon+=-60,CRLarges+=-60															
CulturalGenocide	CRDipGon+=-40	CRDipGon+=-40	CRDipGon+=-60															
NuclearWeapons	CRTreaty+=-10,CRPeaceT+=10,CRTradeM+=-10,CRExchng+=-10,CRLarges+=-20, DiploPts+=(-10:-1),CasusBel+=(-10:-1)	CRTreaty+=-20,CRPeaceT+=20,CRTradeM+=-20,CRExchng+=-20,CRLarges+=-20, DiploPts+=(-30:-1),CasusBel+=(-30:-1)	CRTreaty+=-50,CRPeaceT+=-50,CRTradeM+=-50,CRExchng+=-50,CRDipGon+=-50,CRLarges+=-50, DiploPts+=(-30:-1),CasusBel+=(-30:-1)															
ChemicalWeapons	CRTreaty+=-10,CRPeaceT+=10,CRTradeM+=-10,CRExchng+=-10,CRLarges+=-20, DiploPts+=(-10:-1),CasusBel+=(-10:-1)	CRTreaty+=-20,CRPeaceT+=20,CRTradeM+=-20,CRExchng+=-20,CRLarges+=-20, DiploPts+=(-30:-1),CasusBel+=(-30:-1)	CRTreaty+=-50,CRPeaceT+=-50,CRTradeM+=-50,CRExchng+=-50,CRLarges+=-50, DiploPts+=(-30:-1),CasusBel+=(-30:-1)															
BiologicalWeapons	CRTreaty+=-10,CRPeaceT+=10,CRTradeM+=-10,CRExchng+=-10,CRLarges+=-20, DiploPts+=(-10:-1),CasusBel+=(-10:-1)	CRTreaty+=-20,CRPeaceT+=20,CRTradeM+=-20,CRExchng+=-20,CRLarges+=-20, DiploPts+=(-30:-1),CasusBel+=(-30:-1)	CRTreaty+=-50,CRPeaceT+=-50,CRTradeM+=-50,CRExchng+=-50,CRLarges+=-50, DiploPts+=(-30:-1),CasusBel+=(-30:-1)															
DestroyUnpopulated	CRTreaty+=-20,CRPeaceT+=20,CRTradeM+=-20,CRExchng+=-20,CRLarges+=-20, DiploPts+=(-10:-1),CasusBel+=(-10:-1)	CRTreaty+=-30,CRPeaceT+=15,CRTradeM+=-30,CRExchng+=-30,CRLarges+=-30, DiploPts+=(-20:-1),CasusBel+=(-20:-1)	CRTreaty+=-75,CRPeaceT+=-75,CRTradeM+=-75,CRExchng+=-75,CRLarges+=-75, DiploPts+=(-30:-1),CasusBel+=(-30:-1)															
DestroyLightlyPopulated	CRTreaty+=-30,CRPeaceT+=30,CRTradeM+=-30,CRExchng+=-30,CRLarges+=-30, DiploPts+=(-20:-1),CasusBel+=(-20:-1)	CRTreaty+=-40,CRPeaceT+=25,CRTradeM+=-40,CRExchng+=-40,CRLarges+=-40, DiploPts+=(-30:-1),CasusBel+=(-30:-1)	CRTreaty+=-99,CRPeaceT+=-99,CRTradeM+=-99,CRExchng+=-99,CRLarges+=-99, DiploPts+=(-40:-1),CasusBel+=(-40:-1)															
DestroyPopulated	CRTreaty+=-40,CRPeaceT+=40,CRTradeM+=-40,CRExchng+=-40,CRLarges+=-40, DiploPts+=(-30:-1),CasusBel+=(-30:-1)	CRTreaty+=-50,CRPeaceT+=35,CRTradeM+=-50,CRExchng+=-50,CRLarges+=-50, DiploPts+=(-40:-1),CasusBel+=(-40:-1)	CRTreaty+=-135,CRPeaceT+=-135,CRTradeM+=-135,CRExchng+=-135,CRLarges+=-135, DiploPts+=(-50:-1),CasusBel+=(-50:-1)															
TableEnd																		
																		
TableStart	MinTradeAmt																	
ColumnHeadingsStart	Percent																	
RowHeadingsStart																		
kFeud	158																	
kLoathing	150																	
kHateful	141																	
kJaundiced	133																	
kTroubled	125																	
kTense	116																	
kWary	108																	
kUnease	100																	
kNeutral	91																	
kCalm	83																	
kRelaxed	75																	
kPeaceful	66																	
kCordial	58																	
kAmiable	50																	
kFriendly	41																	
kHarmonious	33																	
kSolidarity	25																	
TableEnd																		
