Format block usage							
Message type		Uses format list					
							
Variable list - Variables in ALL CAPS are types of a format block; others are embedded or secondary variables							
TableStart	Definitions						
ColumnHeadingsStart	Content	Tablename			Notes	TableType	
LeaderKilledOS	New	Yellow	Spies	ICO_SitRep_LeaderPoison	LDKILL03	LDKILL03	LDKILL03
TrainingDepotsT	New	Yellow	Spies	sitrep_spymission_mil	TRAINRC1	TRAINRC2	TRAINRC2
SupportDisruptedT	New	Yellow	Spies	sitrep_spymission_mil	SUPRTRC1	SUPRTRC2	SUPRTRC2
RepairFacilitiesT	New	Yellow	Spies	sitrep_spymission_mil	REPARRC1	REPARRC2	REPARRC2
MilBuildDestroyedT	New	Yellow	Spies	sitrep_spymission_econ	MILTBRC1	MILTBRC2	MILTBRC2
ProductionSabotageT	New	Yellow	Spies	sitrep_spymission_sci	MILTPRC1	MILTPRC2	MILTPRC2
MobilizationCenterT	New	Event	Spies	sitrep_spymission_mil	MOBLERC1	MOBLERC2	MOBLERC2
GovBuildDestroyedT	New	Yellow	Spies	sitrep_spymission_econ	GOVSBRC1	GOVSBRC2	GOVSBRC2
EconBuildDestroyedT	New	Yellow	Spies	sitrep_spymission_econ	GOVEBRC1	GOVEBRC2	GOVEBRC2
CivilTradeT	New	Yellow	Spies	sitrep_spymission_mil	CIVTDRC1	CIVTDRC2	CIVTDRC2
RecBuildDestroyedT	New	Yellow	Spies	sitrep_spymission_econ	RECCBRC1	RECCBRC2	RECCBRC2
CitizenFearT	New	Yellow	Spies	sitrep_spymission_consp	CIVFRRC1	CIVFRRC2	CIVFRRC2
ScienceBuildDestroyedT	New	Yellow	Spies	sitrep_spymission_econ	SCIBDRC1	SCIBDRC2	SCIBDRC2
ProjectFacilityT	New	Yellow	Spies	sitrep_spymission_sci	PROFDRC1	PROFDRC2	PROFDRC2
UniversityProfessorT	New	Yellow	Spies	sitrep_spymission_pol	UNIPFRC1	UNIPFRC2	UNIPFRC2
MajorGovResearchT	New	Yellow	Spies	sitrep_spymission_sci	MJGOVRC1	MJGOVRC2	MJGOVRC2
BankCrashS	New	Yellow	Spies	sitrep_spymission_sci	BANKCSD1	BANKCSD1	BANKCSD1
BankCrashT	New	Yellow	Spies	sitrep_spymission_sci	BANKCRC1	BANKCRC1	BANKCRC1
StreikS	New	Yellow	Spies	sitrep_spymission_consp	STREISD1	STREISD1	STREISD1
StreikT	New	Yellow	Spies	sitrep_spymission_consp	STREIRC1	STREIRC1	STREIRC1
EntertainerS	New	Yellow	Spies	sitrep_spymission_consp	ENTERSD1	ENTERSD2	ENTERSD2
EntertainerT	New	Yellow	Spies	sitrep_spymission_consp	ENTERRC1	ENTERRC2	ENTERRC2
AufstandS	New	Red	Spies	ICO_SitRep_Revolt	AUFSTSD1	AUFSTSD2	AUFSTSD2
AufstandT	New	Red	Spies	ICO_SitRep_Revolt	AUFSTRC1	AUFSTRC2	AUFSTRC2
ChaosS	New	Yellow	Spies	sitrep_spymission_consp	CHAOSSD1	CHAOSSD1	CHAOSSD1
ChaosT	New	Yellow	Spies	sitrep_spymission_consp	CHAOSRC1	CHAOSRC1	CHAOSRC1
IntrigeS	New	Yellow	Spies	sitrep_spymission_diplo	INTRGSD1	INTRGSD1	INTRGSD1
IntrigeT	New	Yellow	Spies	sitrep_spymission_diplo	INTRGRC1	INTRGRC1	INTRGRC1
HandelS	New	Yellow	Spies	sitrep_spymission_diplo	HANDLSD1	HANDLSD1	HANDLSD1
HandelT	New	Yellow	Spies	sitrep_spymission_diplo	HANDLRC1	HANDLRC1	HANDLRC1
AbwehrS	New	Red	Spies	ICO_SitRep_SpyTech	ABWEHSD1	ABWEHSD1	ABWEHSD1
AbwehrT	New	Red	Spies	ICO_SitRep_SpyTech	ABWEHRC1	ABWEHRC1	ABWEHRC1
FalschgeldS	New	Yellow	Spies	sitrep_spymission_diplo	FGELDSD1	FGELDSD1	FGELDSD1
FalschgeldT	New	Yellow	Spies	sitrep_spymission_diplo	FGELDRC1	FGELDRC1	FGELDRC1
KriegstreiberS	New	Red	Spies	ICO_SitRep_SpaceCombat	KRIEGSD1	KRIEGSD1	KRIEGSD1
KriegstreiberT	New	Red	Spies	ICO_SitRep_SpaceCombat	KRIEGRC1	KRIEGRC1	KRIEGRC1
BeamteKillS	New	Yellow	Spies	sitrep_spymission_pol	BEAMTSD1	BEAMTSD1	BEAMTSD1
BeamteKillT	New	Yellow	Spies	sitrep_spymission_pol	BEAMTRC1	BEAMTRC1	BEAMTRC1
EntertainerKillS	New	Yellow	Spies	sitrep_spymission_pol	EKILLSD1	EKILLSD1	EKILLSD1
EntertainerKillT	New	Yellow	Spies	sitrep_spymission_pol	EKILLRC1	EKILLRC1	EKILLRC1
TycoonKillS	New	Yellow	Spies	sitrep_spymission_pol	TYCOOSD1	TYCOOSD1	TYCOOSD1
TycoonKillT	New	Yellow	Spies	sitrep_spymission_pol	TYCOORC1	TYCOORC1	TYCOORC1
TraderKillS	New	Yellow	Spies	sitrep_spymission_pol	TRADKSD1	TRADKSD1	TRADKSD1
TraderKillT	New	Yellow	Spies	sitrep_spymission_pol	TRADKRC1	TRADKRC1	TRADKRC1
ProduktsaboS	New	Yellow	Spies	sitrep_spymission_mil	PRODSSD1	PRODSSD2	PRODSSD2
ProduktsaboT	New	Yellow	Spies	sitrep_spymission_mil	PRODSRC1	PRODSRC2	PRODSRC2
MinesaboS	New	Yellow	Spies	sitrep_spymission_mil	MINESSD1	MINESSD2	MINESSD2
MinesaboT	New	Yellow	Spies	sitrep_spymission_mil	MINESRC1	MINESRC2	MINESRC2
ForschsaboS	New	Yellow	Spies	sitrep_spymission_mil	FSABOSD1	FSABOSD2	FSABOSD2
ForschsaboT	New	Yellow	Spies	sitrep_spymission_mil	FSABORC1	FSABORC2	FSABORC2
GovsaboS	New	Yellow	Spies	sitrep_spymission_mil	GSABOSD1	GSABOSD1	GSABOSD1
GovsaboT	New	Yellow	Spies	sitrep_spymission_mil	GSABORC1	GSABORC1	GSABORC1
OekoterrorS	New	Yellow	Spies	sitrep_spymission_econ	OEKOTSD1	OEKOTSD1	OEKOTSD1
OekoterrorT	New	Yellow	Spies	sitrep_spymission_econ	OEKOTRC1	OEKOTRC1	OEKOTRC1
DrogenS	New	Yellow	Spies	sitrep_spymission_econ	DROGTSD1	DROGTSD1	DROGTSD1
DrogenT	New	Yellow	Spies	sitrep_spymission_econ	DROGTRC1	DROGTRC1	DROGTRC1
VergiftenS	New	Red	Spies	ICO_SitRep_LeaderPoison	GIFTTSD1	GIFTTSD1	GIFTTSD1
VergiftenT	New	Red	Spies	ICO_SitRep_LeaderPoison	GIFTTRC1	GIFTTRC1	GIFTTRC1
ConstructionComplete	New	Yellow	Const	sitrep_Planet	SITRF025	SITRF025	SITRF025
MiltConstructionComplete	New	Yellow	Milt_Const	sitrep_Planet	SITRF025	SITRF025	SITRF025
LeaderKilledT	New	Event	Spies	ICO_SitRep_LeaderPoison	LDKILL04	LDKILL05	LDKILL05
ScandalCorrect	New	Red	Reg	sitrep_empire	SCANDA01	SCANDA01	SCANDA01
ScandalLie	New	Red	Reg	sitrep_empire	SCANDA02	SCANDA02	SCANDA02
ScandalAccuser	New	Red	Reg	sitrep_empire	SCANDA03	SCANDA03	SCANDA03
EmpireMod	New	Event	Reg	sitrep_empire	EVTEST1	EVTEST1	EVTEST1
SystemMod	New	Event	Reg	sitrep_system	EVTEST4	EVTEST4	EVTEST4
PlanetMod	New	Event	Reg	sitrep_Planet	EVTEST5	EVTEST5	EVTEST5
LeaderMod	New	Event	Reg	ICO_SitRep_LeaderKilled	EVTEST6	EVTEST6	EVTEST6
ResearchApp	New	Event	Reg	ICO_SitRep_Tech	EVTEST7	EVTEST7	EVTEST7
ResearchFld	New	Event	Reg	ICO_SitRep_Tech	EVTEST8	EVTEST8	EVTEST8
ResearchSab	New	Event	Reg	ICO_SitRep_Tech	EVTEST9	EVTEST9	EVTEST9
CollateralDam	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	EVTES10	EVTES10	EVTES10
BuildingDestroy	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	EVTES11	EVTES11	EVTES11
AntaranExp1	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA01	ANTARA01	ANTARA01
AntaranExp2	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA02	ANTARA02	ANTARA02
AntaranExp3	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA03	ANTARA03	ANTARA03
AntaranExp4	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA04	ANTARA04	ANTARA04
AntaranExp5	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA05	ANTARA05	ANTARA05
AntaranExp6	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA06	ANTARA06	ANTARA06
AntaranExp7	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA07	ANTARA07	ANTARA07
AntaranExp8	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA08	ANTARA08	ANTARA08
AntaranExp9	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA09	ANTARA09	ANTARA09
DriftingDebris	New	Event	Reg	ICO_SitRep_DriftingDebris	Event001	Event002	Event003
ScientificGather	New	Event	Reg	ICO_SitRep_ScientificSymposium	Event004	Event005	Event006
ResearchSuccess	New	Event	Reg	ICO_SitRep_ResearchBreakthrough	Event007	Event008	Event009
ScientificSymposium	New	Event	Reg	ICO_SitRep_ScientificSymposium	Event010	Event005	Event010
ScientificCongress	New	Event	Reg	ICO_SitRep_ScientificSymposium	Event004	Event011	Event006
HFogCleaning	New	Event	Reg	ICO_SitRep_PendingMessages	Event018	Event019	Event020
HfogWashing	New	Event	Reg	ICO_SitRep_PendingMessages	Event021	Event022	Event023
HFogScrubbing	New	Event	Reg	ICO_SitRep_PendingMessages	Event024	Event025	Event026
HfogLaundering	New	Event	Reg	ICO_SitRep_PendingMessages	Event027	Event028	Event029
MiningAgitation	New	Event	Reg	ICO_SitRep_Unrest	Event030	Event031	Event032
ExoticAnimal	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event033	Event034	Event035
MiningUnrest	New	Event	Reg	ICO_SitRep_Unrest	Event036	Event037	Event038
ExoticAnimalV	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event039	Event040	Event041
MinerUprising	New	Event	Reg	ICO_SitRep_Revolt	Event042	Event043	Event044
ExoticAnimalP	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event045	Event046	Event047
MinerRevolt	New	Event	Reg	ICO_SitRep_Revolt	Event048	Event049	Event050
ExoticAnimalD	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event051	Event052	Event053
AIGlitchEffects	New	Event	Reg	ICO_SitRep_AIUprising	Event054	Event055	Event056
CrackpotTime	New	Event	Reg	ICO_SitRep_ResearchFailure	Event057	Event058	Event059
AIUprising	New	Event	Reg	ICO_SitRep_Revolt	Event060	Event061	Event062
ResearchFailure	New	Event	Reg	ICO_SitRep_ResearchFailure	Event063	Event064	Event065
LoonyTime	New	Event	Reg	ICO_SitRep_ResearchFailure	Event066	Event067	Event068
AIRevolt	New	Event	Reg	ICO_SitRep_AIUprising	Event069	Event070	Event071
Dramatic	New	Event	Reg	ICO_SitRep_ResearchFailure	Event072	Event073	Event074
RavingTime	New	Event	Reg	ICO_SitRep_ResearchFailure	Event075	Event076	Event077
AIInsurrection	New	Event	Reg	ICO_SitRep_AIUprising	Event078	Event079	Event080
WhispersofPirate	New	Event	Reg	ICO_SitRep_Pirate	Event081	Event082	Event083
MurmursofPirate	New	Event	Reg	ICO_SitRep_Pirate	Event084	Event085	Event086
RumorsofPirate	New	Event	Reg	ICO_SitRep_Pirate	Event087	Event088	Event089
ForLangReform	New	Event	Reg	ICO_SitRep_PendingMessages	Event090	Event091	Event092
ForLangInnovation	New	Event	Reg	ICO_SitRep_PendingMessages	Event093	Event094	Event095
ForLangRevolution	New	Event	Reg	ICO_SitRep_PendingMessages	Event096	Event097	Event098
LocalEntStar	New	Event	Reg	ICO_SitRep_Psionic	Event012	Event013	Event014
SysEntStar	New	Event	Reg	ICO_SitRep_Psionic	Event015	Event016	Event017
LeaderWounded	New	Event	Reg	ICO_SitRep_SpaceCombat	Event099	Event100	Event101
LeaderKilled	New	Event	Reg	ICO_SitRep_LeaderKilled	Event102	Event103	Event104
MechTransGlitch	New	Event	Reg	ICO_SitRep_Tech	Event105	Event106	Event107
MechTransFailure	New	Event	Reg	ICO_SitRep_Tech	Event108	Event109	Event110
MechTransDisaster	New	Event	Reg	ICO_SitRep_Tech	Event111	Event112	Event113
PlanetaryNaniteRelease	New	Event	Reg	ICO_SitRep_PlanetarySpecial	Event114	Event115	Event116
Psionic	New	Event	Reg	ICO_SitRep_Psionic	Event117	Event118	Event119
VoidCrystal	New	Event	Reg	ICO_SitRep_VoidCrystal	Event120	Event121	Event122
MinorEarthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event123	Event124	Event125
Earthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event126	Event127	Event128
ScathHiveAttacks	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event129	Event130	Event131
StrongEarthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event132	Event133	Event134
DevistatingEarthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event135	Event136	Event137
AncientOrionRelic	New	Event	Reg	ICO_SitRep_AntaranExpedition	Event138	Event139	Event140
Desertions	New	Event	Reg	ICO_SitRep_Revolt	Event141	Event142	Event143
MassDesert	New	Event	Reg	ICO_SitRep_Revolt	Event144	Event145	Event146
Marauders	New	Event	Reg	ICO_SitRep_Revolt	Event147	Event148	Event149
Mafia	New	Event	Reg	ICO_SitRep_Scandal	Event150	Event151	Event152
Sect	New	Event	Reg	final_indisch1	Event153	Event154	Event155
Monster	New	Event	Reg	final_roboter	Event156	Event157	Event158
GeneticFauna	New	Event	Reg	ICO_SitRep_Genfauna	Event159	Event160	Event161
ArchaeologicalFind	New	Event	Reg	ICO_SitRep_Jungle	Event162	Event163	Event164
Plague	New	Event	Reg	final_dekontaminierung	Event165	Event166	Event167
Wrecks	New	Event	Reg	final_wrack	Event168	Event169	Event170
ReactorGau	New	Event	Reg	final_dekontaminierung	Event171	Event172	Event173
GammaRay	New	Event	Reg	final_gammablitz	Event174	Event175	Event176
Ions	New	Event	Reg	final_gammablitz	Event177	Event178	Event179
SpaceWreck	New	Event	Reg	final_wrack	Event180	Event181	Event182
Informant	New	Event	Reg	ICO_SitRep_Scandal	Event183	Event184	Event185
Ecliptic	New	Event	Reg	final_gaia	Event186	Event187	Event188
Saints	New	Event	Reg	final_indisch2	Event189	Event190	Event191
Wormhole	New	Event	Reg	final_gammablitz	Event192	Event193	Event194
Relic	New	Event	Reg	final_artefakt	Event195	Event196	Event197
Whales	New	Event	Reg	final_weltraumwale	Event198	Event199	Event200
Insects	New	Event	Reg	final_raumschiff_explosion	Event201	Event202	Event203
Asteroid	New	Event	Reg	final_asteroid	Event204	Event205	Event206
PirateAmvush	New	Event	Reg	final_raumschiff_explosion	Event207	Event208	Event209
MonsterAttack	New	Event	Reg	final_roboter	Event210	Event211	Event212
EconDevMaintScrap	New	Red	Reg	sitrep_scrap	ECNSCRP1	ECNSCRP2	ECNSCRP3
SecurityMaintScrap	New	Red	Reg	sitrep_scrap	SECSCRP1	SECSCRP2	SECSCRP3
SocialMaintScrap	New	Red	Reg	sitrep_scrap	SOCSCRP1	SOCSCRP2	SOCSCRP3
MilitaryMaintReserveScrap	New	Red	Reg	sitrep_scrap	RSVSCRP1	RSVSCRP1	RSVSCRP1
MilitaryMaintGFDisband	New	Red	Reg	sitrep_GrndForce	GFDSBND1	GFDSBND1	GFDSBND1
MilitaryMaintGFDestroyed1	New	Red	Reg	sitrep_GrndForce	GFDSRY11	GFDSRY11	GFDSRY11
MilitaryMaintGFDestroyed2	New	Red	Reg	sitrep_GrndForce	GFDSRY21	GFDSRY21	GFDSRY21
MilitaryMaintShipDestroyed1	New	Red	Reg	sitrep_ship	SHPDES11	SHPDES11	SHPDES11
MilitaryMaintShipDestroyed2	New	Red	Reg	sitrep_ship	SHPDES21	SHPDES21	SHPDES21
MilitaryMaintShipScrapped	New	Red	Reg	sitrep_scrap	SHPSCRP1	SHPSCRP1	SHPSCRP1
SenateElectionStarts	New	Event	Reg	ICO_SitRep_SenateElectionStarts	SENELRP1	SENELRP1	SENELRP1
SpecialDiscovered	New	Green	Reg	sitrep_Planet	SPDSC01	SPDSC01	SPDSC01
PendingMessages	New	Event	Reg	ICO_SitRep_PendingMessages	DIPLO001	DIPLO002	DIPLO003
AcceptedOffer	New	Red	Reg	sitrep_diplomacy	DIPLO004	DIPLO005	DIPLO006
DeclinedOffer	New	Red	Reg	sitrep_diplomacy	DIPLO007	DIPLO008	DIPLO009
CounterOffer	New	Event	Reg	ICO_SitRep_PendingMessages	DIPLO010	DIPLO011	DIPLO012
DeclaredWar	New	Event	Reg	ICO_SitRep_DeclaredWar	DIPLO013	DIPLO014	DIPLO015
BrokenTreaty	New	Yellow	Reg	sitrep_diplomacy	DIPLO016	DIPLO017	DIPLO018
EnforcedPeaceExpiring	New	Yellow	Reg	sitrep_diplomacy	DIPLO019	DIPLO020	DIPLO021
EnforcedPeaceExpired	New	Yellow	Reg	sitrep_diplomacy	DIPLO022	DIPLO023	DIPLO024
BrokenTradeAgreement	New	Yellow	Reg	sitrep_diplomacy	DIPLO025	DIPLO026	DIPLO027
OutpostTFChristened	New	Yellow	Reg	sitrep_TaskForces	SITROUT2	SITROUT2	SITROUT2
SBAttackWon	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL10	SBATTL11	SBATTL12
SBAttackLost	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL07	SBATTL08	SBATTL09
SBDefendWon	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL04	SBATTL05	SBATTL06
SBDefendLost	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL01	SBATTL02	SBATTL03
SBSystemWon	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL16	SBATTL17	SBATTL18
SBSystemLost	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL13	SBATTL14	SBATTL15
SBDraw	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL19	SBATTL20	SBATTL21
SBNoFight	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL22	SBATTL23	SBATTL24
MigratedColony	New	Green	Reg	ICO_SitRep_MigratedColony	COLONY02	COLONY02	COLONY03
Unrest1	New	Yellow	Reg	sitrep_unrest	UNREST01	UNREST02	UNREST03
Unrest2	New	Yellow	Reg	sitrep_unrest	UNREST04	UNREST05	UNREST06
Unrest3	New	Event	Reg	ICO_SitRep_Unrest	UNREST07	UNREST08	UNREST09
Revolt	New	Event	Reg	ICO_SitRep_Revolt	REVOLT01	REVOLT02	REVOLT03
RevoltPlanetLeft	New	Event	Reg	ICO_SitRep_Revolt	REVOLT04	REVOLT05	REVOLT06
EntourageLeader	New	Event	Reg	ICO_SitRep_Scandal	ENTLD001	ENTLD002	ENTLD003
RevoltDestroyBuildings	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	REVOL001	REVOL002	REVOL003
NewColony	New	Yellow	Reg	sitrep_Planet	NEWCOL01	NEWCOL02	NEWCOL03
NewOutpost	New	Yellow	Reg	sitrep_Planet	NEWOUT01	NEWOUT02	NEWOUT03
TargetedMigration	New	Yellow	Migrate	sitrep_Planet	MIGRAT01	MIGRAT02	MIGRAT03
LostPlanetPopDown	New	Red	Reg	sitrep_Planet	LOSTPL01	LOSTPL02	LOSTPL03
BillProposed	New	Yellow	Reg	sitrep_senate	BILLPR01	BILLPR02	BILLPR03
GroundForceFormed	New	Green	Reg	sitrep_GrndForce	NEWGRF01	NEWGRF02	NEWGRF03
TaskForceFormed	New	Green	TF_Built	sitrep_TaskForces	NEWTAF01	NEWTAF02	NEWTAF03
SpyBuilt	New	Red	Spies	sitrep_spy	NEWSPY01	NEWSPY02	NEWSPY03
SpyDeadNoLuck	New	Yellow	Spies	sitrep_spy	SPY01	SPY02	SPY03
SpyDeadImprisonedKilled	New	Yellow	Spies	sitrep_spy	SPY04	SPY05	SPY06
SpyDeadSuicideCaptured	New	Yellow	Spies	sitrep_spy	SPY07	SPY08	SPY09
SpyDeadKilledCaptured	New	Yellow	Spies	sitrep_spy	SPY10	SPY11	SPY12
SpyDeadSuicideEscaping	New	Yellow	Spies	sitrep_spy	SPY13	SPY14	SPY15
SpyDeadKilledEscaping	New	Yellow	Spies	sitrep_spy	SPY16	SPY17	SPY18
SpyDeadKilledSqueeze	New	Yellow	Spies	sitrep_spy	SPY19	SPY20	SPY21
SpyPrisonEscapeCapture	New	Yellow	Spies	sitrep_spy	SPY22	SPY23	SPY24
SpyPrisonSqueeze	New	Yellow	Spies	sitrep_spy	SPY25	SPY26	SPY27
SpyEscapesPrison	New	Yellow	Spies	sitrep_spy	SPY28	SPY29	SPY30
SpyEscapesCapture	New	Yellow	Spies	sitrep_spy	SPY31	SPY32	SPY33
SpySqueezeLetGo	New	Yellow	Spies	sitrep_spy	SPY34	SPY35	SPY36
SpyInsertFailedEvades	New	Yellow	Spies	sitrep_spy	SPY37	SPY38	SPY39
SpyMissionFailedEvades	New	Yellow	Spies	sitrep_spy	SPY40	SPY41	SPY42
SpyExtractFailedEvades	New	Yellow	Spies	sitrep_spy	SPY43	SPY44	SPY45
SpyMissionFailed	New	Yellow	Spies	sitrep_spy	SPY46	SPY47	SPY48
SpyInsertFailed	New	Yellow	Spies	sitrep_spy	SPY49	SPY50	SPY51
SpyExtractFailed	New	Yellow	Spies	sitrep_spy	SPY52	SPY53	SPY54
SpyInsertSuccess	New	Yellow	Spies	sitrep_spy	SPY55	SPY56	SPY57
SpyExtractSuccess	New	Yellow	Spies	sitrep_spy	SPY58	SPY59	SPY60
StealTechS	New	Event	Spies	ICO_SitRep_ResearchBreakthrough	STEAL01	STEAL02	STEAL03
SpecialResearch	New	Red	Reg	sitrep_tech	SPDSC12	SPDSC12	SPDSC12
SpecialLeader	New	Red	Reg	sitrep_Person	SPDSC13	SPDSC13	SPDSC13
DarlokGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srDarGrd	srDarGrd	srDarGrd
BulratGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srBulGrd	srBulGrd	srBulGrd
MrrshaGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srMrrGrd	srMrrGrd	srMrrGrd
ElereGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srEleGrd	srEleGrd	srEleGrd
